state_name,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016
Alabama,2099819,813479,1266546,19794,2064699,793620,1252453,18626,2078165,718084,1306925,53156
Arizona,2293475,1034707,1230111,28657,2041519,900081,1107130,34308,2062810,936250,1021154,105406
Arkansas,1086617,422310,638017,26290,1062831,391953,643717,27161,1108615,378729,677904,51982
California,13561900,8274473,5011781,275646,10538656,6241648,4046524,250484,9631972,5931283,3184721,515968
Colorado,2401361,1288576,1073589,39196,2419698,1238490,1125391,55817,2564185,1212209,1137455,214521
Connecticut,1646792,997772,629428,19592,1562187,912531,631432,18224,1623542,884432,668266,70844
Delaware,412412,255459,152374,4579,413844,242547,165476,5821,441535,235581,185103,20851
District of Columbia,265853,245800,17367,2686,243348,222332,17337,3679,280272,260223,11553,8496
Florida,8390744,4282074,4045624,63046,8470205,4235270,4162081,72854,9386750,4485745,4605515,295490
Georgia,3924472,1844123,2048759,31590,3877038,1761761,2070221,45056,4029564,1837300,2068623,123641
Hawaii,452742,325201,120429,7112,429494,303090,119494,6910,428825,266827,128815,33183
Idaho,655032,236440,403012,15580,651871,212560,420750,18561,688235,189677,407199,91359
Illinois,5522371,3419348,2031179,71844,5113726,2934826,2094526,84374,5374280,2977498,2118179,278603
Indiana,2912882,1374039,1345648,31357,2602883,1140425,1412620,49838,2722029,1031953,1556220,133856
Iowa,1536820,828940,682379,25501,1565968,816429,727928,21611,1542880,650790,798923,93167
Kansas,1235808,514765,699655,21388,1131244,427918,678719,24607,1147143,414788,656009,76346
Kentucky,1826508,751985,1048462,26061,1796736,679340,1087127,30269,1922218,628834,1202942,90442
Louisiana,1960761,782989,1148275,29497,1993555,808496,1152460,32599,2027731,779535,1178004,70192
Maine,731063,421823,295273,13967,710738,397754,290437,22547,741550,354873,334838,51839
Maryland,2631593,1629467,959862,42264,2475956,1527686,904970,43300,2474543,1497951,873646,102946
Massachusetts,3080985,1904097,1108854,68034,3129731,1901276,1178245,50210,3231531,1964768,1083069,183694
Michigan,5001766,2872579,2048639,80548,4717728,2561911,2112673,43144,4789450,2267373,2279210,242867
Minnesota,2910370,1573354,1275409,61607,2928942,1547668,1321575,59699,2916404,1366676,1322891,226837
Mississippi,1289865,554662,724597,10606,1214004,528260,674302,11442,1162987,462001,678457,22529
Missouri,2910906,1441947,1445814,37480,2744935,1215031,1478961,50943,2775098,1054889,1585753,134456
Montana,490109,231667,242763,15679,479386,200489,264974,13923,483574,174521,274120,34933
Nebraska,801281,333319,452979,14983,765083,289154,462972,12957,805638,273858,485819,45961
Nevada,961581,533736,412827,15018,1011105,528801,462422,19882,1122990,537753,511319,73918
New Hampshire,707611,384826,316534,6251,705874,368529,327870,9475,730628,348126,345598,36904
New Jersey,3868237,2215422,1613207,39608,3378826,1960744,1383233,34849,3674893,2021756,1535513,117624
New Mexico,830158,472422,346832,10904,772329,408312,331915,32102,783127,380724,315875,86528
New York,7640640,4804701,2752728,83211,6188982,3875826,2226637,86519,7046175,4143874,2640570,261731
North Carolina,4310789,2142651,2128474,39664,4499039,2178388,2275853,44798,4629471,2162074,2339603,127794
North Dakota,316581,141278,168561,6742,319825,124490,187586,7749,336968,93526,216133,27309
Ohio,5688361,2923149,2675009,90218,5379090,2697260,2593779,88051,5325395,2317001,2771984,236410
Oklahoma,1462661,502496,960165,0,1332019,442647,889372,0,1451056,419788,947934,83334
Oregon,1827864,1037291,738475,52098,1713697,932459,732288,48950,1808575,934631,742506,131438
Pennsylvania,5995137,3276363,2655885,62889,5596499,2907448,2619583,69468,5970107,2844705,2912941,212461
Rhode Island,572512,373907,189315,9290,437380,274342,155355,7683,450121,249902,179421,20798
South Carolina,1920969,862449,1034896,23624,1921363,845756,1049507,26100,2084444,849469,1143611,91364
South Dakota,378625,167953,202723,7949,360565,142066,210353,8146,367151,114938,227460,24753
Tennessee,2599723,1087437,1479178,33108,2442804,953043,1453097,36664,2484691,867110,1517402,100179
Texas,8077795,3528633,4479328,69834,7962799,3294440,4555799,112560,8903237,3867816,4681590,353831
Utah,952370,327670,596030,28670,923301,229463,671747,22091,852461,237241,397004,218216
Vermont,325046,219262,98974,6810,297274,199259,92700,5315,291413,178179,95053,18181
Virginia,3720463,1958261,1723508,38694,3745060,1904303,1788091,52666,3844787,1916845,1731156,196786
Washington,3036878,1750848,1229216,56814,2840306,1588309,1183614,68383,2765627,1523720,1043648,198259
West Virginia,713362,303857,397466,12039,661643,234925,412406,14312,708226,187457,486198,34571
Wisconsin,2983417,1676761,1262393,43813,3056613,1613950,1408746,33917,2944620,1382210,1409467,152943
Wyoming,254658,82868,164958,6832,245785,68780,170265,6740,248742,55949,174248,18545
